Name,Original Region,Variant,National Dex #,Type 1,Type 2,Ability 1,Ability 2,Hidden Ability,Egg Group 1,Egg Group 2,Weight (kg),HP,Atk,Def,Sp. Atk,Sp. Def,Speed
Slowking,Galar,,199,Poison,Psychic,Curious Medicine,Own Tempo,Regenerator,Monster,Water 1,79.5,95,65,80,110,110,30
Misdreavus,Johto,,200,Ghost,,Levitate,,,Amorphous,,1,60,60,60,85,85,85
Unown,Johto,,201,Psychic,,Levitate,,,No Eggs Discovered,,5,48,72,48,72,48,48
Wobbuffet,Johto,,202,Psychic,,Shadow Tag,,Telepathy,Amorphous,,28.5,190,33,58,33,58,33
Girafarig,Johto,,203,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,Field,,41.5,70,80,65,90,65,85
Pineco,Johto,,204,Bug,,Sturdy,,Overcoat,Bug,,7.2,50,65,90,35,35,15
Forretress,Johto,,205,Bug,Steel,Sturdy,,Overcoat,Bug,,125.8,75,90,140,60,60,40
Dunsparce,Johto,,206,Normal,,Serene Grace,Run Away,Rattled,Field,,14,100,70,70,65,65,45
Gligar,Johto,,207,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,Bug,,64.8,65,75,105,35,65,85
Steelix,Johto,,208,Steel,Ground,Rock Head,Sturdy,Sheer Force,Mineral,,400,75,85,200,55,65,30
Snubbull,Johto,,209,Fairy,,Intimidate,Run Away,Rattled,Field,Fairy,7.8,60,80,50,40,40,30
Granbull,Johto,,210,Fairy,,Intimidate,Quick Feet,Rattled,Field,Fairy,48.7,90,120,75,60,60,45
Qwilfish,Johto,,211,Water,Poison,Poison Point,Swift Swim,Intimidate,Water 2,,3.9,65,95,85,55,55,85
Qwilfish,Hisui,,211,Dark,Poison,Poison Point,Swift Swim,Intimidate,Water 2,,3.9,65,95,85,55,55,85
Scizor,Johto,,212,Bug,Steel,Swarm,Technician,Light Metal,Bug,,118,70,130,100,55,80,65
Shuckle,Johto,,213,Bug,Rock,Sturdy,Gluttony,Contrary,Bug,,20.5,20,10,230,10,230,5
Heracross,Johto,,214,Bug,Fighting,Swarm,Guts,Moxie,Bug,,54,80,125,75,40,95,85
Sneasel,Johto,,215,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,Field,,28,55,95,55,35,75,115
Sneasel,Hisui,,215,Fighting,Poison,Inner Focus,Keen Eye,Pickpocket,Field,,27,55,95,55,35,75,115
Teddiursa,Johto,,216,Normal,,Pickup,Quick Feet,Honey Gather,Field,,8.8,60,80,50,50,50,40
Ursaring,Johto,,217,Normal,,Guts,Quick Feet,Unnerve,Field,,125.8,90,130,75,75,75,55
Slugma,Johto,,218,Fire,,Magma Armor,Flame Body,Weak Armor,Amorphous,,35,40,40,40,70,40,20
Magcargo,Johto,,219,Fire,Rock,Magma Armor,Flame Body,Weak Armor,Amorphous,,55,60,50,120,90,80,30
Swinub,Johto,,220,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Field,,6.5,50,50,40,30,30,50
Piloswine,Johto,,221,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Field,,55.8,100,100,80,60,60,50
Corsola,Johto,,222,Water,Rock,Hustle,Natural Cure,Regenerator,Water 1,Water 3,5,65,55,95,65,95,35
Corsola,Galar,,222,Ghost,,Weak Armor,,Cursed Body,Water 1,Water 3,0.5,60,55,100,65,100,30
Remoraid,Johto,,223,Water,,Hustle,Sniper,Moody,Water 1,Water 2,12,35,65,35,65,35,65
Octillery,Johto,,224,Water,,Suction Cups,Sniper,Moody,Water 1,Water 2,28.5,75,105,75,105,75,45
Delibird,Johto,,225,Ice,Flying,Vital Spirit,Hustle,Insomnia,Field,Water 1,16,45,55,45,65,45,75
Mantine,Johto,,226,Water,Flying,Swift Swim,Water Absorb,Water Veil,Water 1,,220,85,40,70,80,140,70
Skarmory,Johto,,227,Steel,Flying,Keen Eye,Sturdy,Weak Armor,Flying,,50.5,65,80,140,40,70,70
Houndour,Johto,,228,Dark,Fire,Early Bird,Flash Fire,Unnerve,Field,,10.8,45,60,30,80,50,65
Houndoom,Johto,,229,Dark,Fire,Early Bird,Flash Fire,Unnerve,Field,,35,75,90,50,110,80,95
Kingdra,Johto,,230,Water,Dragon,Swift Swim,Sniper,Damp,Water 1,Dragon,152,75,95,95,95,95,85
Phanpy,Johto,,231,Ground,,Pickup,,Sand Veil,Field,,33.5,90,60,60,40,40,40
Donphan,Johto,,232,Ground,,Sturdy,,Sand Veil,Field,,120,90,120,120,60,60,50
Porygon2,Johto,,233,Normal,,Trace,Download,Analytic,Mineral,,32.5,85,80,90,105,95,60
Stantler,Johto,,234,Normal,,Intimidate,Frisk,Sap Sipper,Field,,71.2,73,95,62,85,65,85
Smeargle,Johto,,235,Normal,,Own Tempo,Technician,Moody,Field,,58,55,20,35,20,45,75
Tyrogue,Johto,,236,Fighting,,Guts,Steadfast,Vital Spirit,No Eggs Discovered,,21,35,35,35,35,35,35
Hitmontop,Johto,,237,Fighting,,Intimidate,Technician,Steadfast,Human-Like,,48,50,95,95,35,110,70
Smoochum,Johto,,238,Ice,Psychic,Oblivious,Forewarn,Hydration,No Eggs Discovered,,6,45,30,15,85,65,65
Elekid,Johto,,239,Electric,,Static,,Vital Spirit,No Eggs Discovered,,23.5,45,63,37,65,55,95
Magby,Johto,,240,Fire,,Flame Body,,Vital Spirit,No Eggs Discovered,,21.4,45,75,37,70,55,83
Miltank,Johto,,241,Normal,,Thick Fat,Scrappy,Sap Sipper,Field,,75.5,95,80,105,40,70,100
Blissey,Johto,,242,Normal,,Natural Cure,Serene Grace,Healer,Fairy,,46.8,255,10,10,75,135,55
Raikou,Johto,,243,Electric,,Pressure,,Inner Focus,No Eggs Discovered,,178,90,85,75,115,100,115
Entei,Johto,,244,Fire,,Pressure,,Inner Focus,No Eggs Discovered,,198,115,115,85,90,75,100
Suicune,Johto,,245,Water,,Pressure,,Inner Focus,No Eggs Discovered,,187,100,75,115,90,115,85
Larvitar,Johto,,246,Rock,Ground,Guts,,Sand Veil,Monster,,72,50,64,50,45,50,41
Pupitar,Johto,,247,Rock,Ground,Shed Skin,,,Monster,,152,70,84,70,65,70,51
Tyranitar,Johto,,248,Rock,Dark,Sand Stream,,Unnerve,Monster,,202,100,134,110,95,100,61
Lugia,Johto,,249,Psychic,Flying,Pressure,,Multiscale,No Eggs Discovered,,216,106,90,130,90,154,110
Ho-Oh,Johto,,250,Fire,Flying,Pressure,,Regenerator,No Eggs Discovered,,199,106,130,90,110,154,90
Celebi,Johto,,251,Psychic,Grass,Natural Cure,,,No Eggs Discovered,,5,100,100,100,100,100,100
Treecko,Hoenn,,252,Grass,,Overgrow,,Unburden,Monster,Dragon,5,40,45,35,65,55,70
Grovyle,Hoenn,,253,Grass,,Overgrow,,Unburden,Monster,Dragon,21.6,50,65,45,85,65,95
Sceptile,Hoenn,,254,Grass,,Overgrow,,Unburden,Monster,Dragon,52.2,70,85,65,105,85,120
Torchic,Hoenn,,255,Fire,,Blaze,,Speed Boost,Field,,2.5,45,60,40,70,50,45
Combusken,Hoenn,,256,Fire,Fighting,Blaze,,Speed Boost,Field,,19.5,60,85,60,85,60,55
Blaziken,Hoenn,,257,Fire,Fighting,Blaze,,Speed Boost,Field,,52,80,120,70,110,70,80
Mudkip,Hoenn,,258,Water,,Torrent,,Damp,Monster,Water 1,7.6,50,70,50,50,50,40
Marshtomp,Hoenn,,259,Water,Ground,Torrent,,Damp,Monster,Water 1,28,70,85,70,60,70,50
Swampert,Hoenn,,260,Water,Ground,Torrent,,Damp,Monster,Water 1,81.9,100,110,90,85,90,60
Poochyena,Hoenn,,261,Dark,,Run Away,Quick Feet,Rattled,Field,,13.6,35,55,35,30,30,35
Mightyena,Hoenn,,262,Dark,,Intimidate,Quick Feet,Moxie,Field,,37,70,90,70,60,60,70
Zigzagoon,Hoenn,,263,Normal,,Pickup,Gluttony,Quick Feet,Field,,17.5,38,30,41,30,41,60
Zigzagoon,Galar,,263,Dark,Normal,Pickup,Gluttony,Quick Feet,Field,,17.5,38,30,41,30,41,60
Linoone,Hoenn,,264,Normal,,Pickup,Gluttony,Quick Feet,Field,,32.5,78,70,61,50,61,100
Linoone,Galar,,264,Dark,Normal,Pickup,Gluttony,Quick Feet,Field,,32.5,78,70,61,50,61,100
Wurmple,Hoenn,,265,Bug,,Shield Dust,,Run Away,Bug,,3.6,45,45,35,20,30,20
Silcoon,Hoenn,,266,Bug,,Shed Skin,,,Bug,,10,50,35,55,25,25,15
Beautifly,Hoenn,,267,Bug,Flying,Swarm,,Rivalry,Bug,,28.4,60,70,50,100,50,65
Cascoon,Hoenn,,268,Bug,,Shed Skin,,,Bug,,11.5,50,35,55,25,25,15
Dustox,Hoenn,,269,Bug,Poison,Shield Dust,,Compound Eyes,Bug,,31.6,60,50,70,50,90,65
Lotad,Hoenn,,270,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Water 1,Grass,2.6,40,30,30,40,50,30
Lombre,Hoenn,,271,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Water 1,Grass,32.5,60,50,50,60,70,50
Ludicolo,Hoenn,,272,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Water 1,Grass,55,80,70,70,90,100,70
Seedot,Hoenn,,273,Grass,,Chlorophyll,Early Bird,Pickpocket,Field,Grass,4,40,40,50,30,30,30
Nuzleaf,Hoenn,,274,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Field,Grass,28,70,70,40,60,40,60
Shiftry,Hoenn,,275,Grass,Dark,Chlorophyll,Wind Rider,Pickpocket,Field,Grass,59.6,90,100,60,90,60,80
Taillow,Hoenn,,276,Normal,Flying,Guts,,Scrappy,Flying,,2.3,40,55,30,30,30,85
Swellow,Hoenn,,277,Normal,Flying,Guts,,Scrappy,Flying,,19.8,60,85,60,75,50,125
Wingull,Hoenn,,278,Water,Flying,Keen Eye,Hydration,Rain Dish,Water 1,Flying,9.5,40,30,30,55,30,85
Pelipper,Hoenn,,279,Water,Flying,Keen Eye,Drizzle,Rain Dish,Water 1,Flying,28,60,50,100,95,70,65
Ralts,Hoenn,,280,Psychic,Fairy,Synchronize,Trace,Telepathy,Human-Like,Amorphous,6.6,28,25,25,45,35,40
Kirlia,Hoenn,,281,Psychic,Fairy,Synchronize,Trace,Telepathy,Human-Like,Amorphous,20.2,38,35,35,65,55,50
Gardevoir,Hoenn,,282,Psychic,Fairy,Synchronize,Trace,Telepathy,Human-Like,Amorphous,48.4,68,65,65,125,115,80
Surskit,Hoenn,,283,Bug,Water,Swift Swim,,Rain Dish,Water 1,Bug,1.7,40,30,32,50,52,65
Masquerain,Hoenn,,284,Bug,Flying,Intimidate,,Unnerve,Water 1,Bug,3.6,70,60,62,100,82,80
Shroomish,Hoenn,,285,Grass,,Effect Spore,Poison Heal,Quick Feet,Fairy,Grass,4.5,60,40,60,40,60,35
Breloom,Hoenn,,286,Grass,Fighting,Effect Spore,Poison Heal,Technician,Fairy,Grass,39.2,60,130,80,60,60,70
Slakoth,Hoenn,,287,Normal,,Truant,,,Field,,24,60,60,60,35,35,30
Vigoroth,Hoenn,,288,Normal,,Vital Spirit,,,Field,,46.5,80,80,80,55,55,90
Slaking,Hoenn,,289,Normal,,Truant,,,Field,,130.5,150,160,100,95,65,100
Nincada,Hoenn,,290,Bug,Ground,Compound Eyes,,Run Away,Bug,,5.5,31,45,90,30,30,40
Ninjask,Hoenn,,291,Bug,Flying,Speed Boost,,Infiltrator,Bug,,12,61,90,45,50,50,160
Shedinja,Hoenn,,292,Bug,Ghost,Wonder Guard,,,Mineral,,1.2,1,90,45,30,30,40
Whismur,Hoenn,,293,Normal,,Soundproof,,Rattled,Monster,Field,16.3,64,51,23,52,23,28
Loudred,Hoenn,,294,Normal,,Soundproof,,Scrappy,Monster,Field,40.5,84,71,43,71,43,48
Exploud,Hoenn,,295,Normal,,Soundproof,,Scrappy,Monster,Field,84,104,91,63,91,73,68
Makuhita,Hoenn,,296,Fighting,,Thick Fat,Guts,Sheer Force,Human-Like,,86.4,72,60,30,20,30,25
Hariyama,Hoenn,,297,Fighting,,Thick Fat,Guts,Sheer Force,Human-Like,,253.8,144,120,60,40,60,50
Azurill,Hoenn,,298,Normal,Flying,Thick Fat,Huge Power,Sap Sipper,No Eggs Discovered,,2,50,20,40,20,40,20
Nosepass,Hoenn,,299,Rock,,Sturdy,Magnet Pull,Sand Force,Mineral,,97,30,45,135,45,90,30
Skitty,Hoenn,,300,Normal,,Cute Charm,Normalize,Wonder Skin,Field,Fairy,11,50,45,45,35,35,50
Delcatty,Hoenn,,301,Normal,,Cute Charm,Normalize,Wonder Skin,Field,Fairy,32.6,70,65,65,55,55,90
Sableye,Hoenn,,302,Dark,Ghost,Keen Eye,Stall,Prankster,Human-Like,,11,50,75,75,65,65,50
Mawile,Hoenn,,303,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,Fairy,Field,11.5,50,85,85,55,55,50
Aron,Hoenn,,304,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Monster,,60,50,70,100,40,40,30
Lairon,Hoenn,,305,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Monster,,120,60,90,140,50,50,40
Aggron,Hoenn,,306,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Monster,,360,70,110,180,60,60,50
Meditite,Hoenn,,307,Fighting,Psychic,Pure Power,,Telepathy,Human-Like,,11.2,30,40,55,40,55,60
Medicham,Hoenn,,308,Fighting,Psychic,Pure Power,,Telepathy,Human-Like,,31.5,60,60,75,60,75,80
Electrike,Hoenn,,309,Electric,,Static,Lightning Rod,Minus,Field,,15.2,40,45,40,65,40,65
Manectric,Hoenn,,310,Electric,,Static,Lightning Rod,Minus,Field,,40.2,70,75,60,105,60,105
Plusle,Hoenn,,311,Electric,,Plus,,Lightning Rod,Fairy,,4.2,60,50,40,85,75,95
Minun,Hoenn,,312,Electric,,Minus,,Volt Absorb,Fairy,,4.2,60,40,50,75,85,95
Volbeat,Hoenn,,313,Bug,,Illuminate,Swarm,Prankster,Bug,Human-Like,17.7,65,73,75,47,85,85
Illumise,Hoenn,,314,Bug,,Oblivious,Tinted Lens,Prankster,Bug,Human-Like,17.7,65,47,75,73,85,85
Roselia,Hoenn,,315,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Fairy,Grass,2,50,60,45,100,80,65
Gulpin,Hoenn,,316,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Amorphous,,10.3,70,43,53,43,53,40
Swalot,Hoenn,,317,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Amorphous,,80,100,73,83,73,83,55
Carvanha,Hoenn,,318,Water,Dark,Rough Skin,,Speed Boost,Water 2,,20.8,45,90,20,65,20,65
Sharpedo,Hoenn,,319,Water,Dark,Rough Skin,,Speed Boost,Water 2,,88.8,70,120,40,95,40,95
Wailmer,Hoenn,,320,Water,,Water Veil,Oblivious,Pressure,Field,Water 2,130,130,70,35,70,35,60
Wailord,Hoenn,,321,Water,,Water Veil,Oblivious,Pressure,Field,Water 2,398,170,90,45,90,45,60
Numel,Hoenn,,322,Fire,Ground,Oblivious,Simple,Own Tempo,Field,,24,60,60,40,65,45,35
Camerupt,Hoenn,,323,Fire,Ground,Magma Armor,Solid Rock,Anger Point,Field,,220,70,100,70,105,75,40
Torkoal,Hoenn,,324,Fire,,White Smoke,Drought,Shell Armor,Field,,80.4,70,85,140,85,70,20
Spoink,Hoenn,,325,Psychic,,Thick Fat,Own Tempo,Gluttony,Field,,30.6,60,25,35,70,80,60
Grumpig,Hoenn,,326,Psychic,,Thick Fat,Own Tempo,Gluttony,Field,,71.5,80,45,65,90,110,80
Spinda,Hoenn,,327,Normal,,Own Tempo,Tangled Feet,Contrary,Field,Human-Like,5,60,60,60,60,60,60
Trapinch,Hoenn,,328,Ground,,Hyper Cutter,Arena Trap,Sheer Force,Bug,Dragon,15,45,100,45,45,45,10
Vibrava,Hoenn,,329,Ground,Dragon,Levitate,,,Bug,Dragon,15.3,50,70,50,50,50,70
Flygon,Hoenn,,330,Ground,Dragon,Levitate,,,Bug,Dragon,82,80,100,80,80,80,100
Cacnea,Hoenn,,331,Grass,,Sand Veil,,Water Absorb,Grass,Human-Like,51.3,50,85,40,85,40,35
Cacturne,Hoenn,,332,Grass,Dark,Sand Veil,,Water Absorb,Grass,Human-Like,77.4,70,115,60,115,60,55
Swablu,Hoenn,,333,Normal,Flying,Natural Cure,,Cloud Nine,Flying,Dragon,1.2,45,40,60,70,75,50
Altaria,Hoenn,,334,Dragon,Flying,Natural Cure,,Cloud Nine,Flying,Dragon,20.6,75,70,90,70,105,80
Zangoose,Hoenn,,335,Normal,,Immunity,,Toxic Boost,Field,,40.3,73,115,60,60,60,90
Seviper,Hoenn,,336,Poison,,Shed Skin,,Infiltrator,Dragon,Field,52.5,73,100,60,100,60,65
Lunatone,Hoenn,,337,Rock,Psychic,Levitate,,,Mineral,,168,90,55,65,95,85,70
Solrock,Hoenn,,338,Rock,Psychic,Levitate,,,Mineral,,154,90,95,85,55,65,70
Barboach,Hoenn,,339,Water,Ground,Oblivious,Anticipation,Hydration,Water 2,,1.9,50,48,43,46,41,60
Whiscash,Hoenn,,340,Water,Ground,Oblivious,Anticipation,Hydration,Water 2,,23.6,110,78,73,76,71,60
Corphish,Hoenn,,341,Water,,Hyper Cutter,Shell Armor,Adaptability,Water 1,Water 3,11.5,43,80,65,50,35,35
Crawdaunt,Hoenn,,342,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,Water 1,Water 3,32.8,63,120,85,90,55,55
Baltoy,Hoenn,,343,Ground,Psychic,Levitate,,,Mineral,,21.5,40,40,55,40,70,55
Claydol,Hoenn,,344,Ground,Psychic,Levitate,,,Mineral,,108,60,70,105,70,120,75
Lileep,Hoenn,,345,Rock,Grass,Suction Cups,,Storm Drain,Water 3,,23.8,66,41,77,61,87,23
Cradily,Hoenn,,346,Rock,Grass,Suction Cups,,Storm Drain,Water 3,,60.4,86,81,97,81,107,43
Anorith,Hoenn,,347,Rock,Bug,Battle Armor,,Swift Swim,Water 3,,12.5,45,95,50,40,50,75
Armaldo,Hoenn,,348,Rock,Bug,Battle Armor,,Swift Swim,Water 3,,68.2,75,125,100,70,80,45
Feebas,Hoenn,,349,Water,,Swift Swim,Oblivious,Adaptability,Water 1,Dragon,7.4,20,15,20,10,55,80
Milotic,Hoenn,,350,Water,,Marvel Scale,Competitive,Cute Charm,Water 1,Dragon,162,95,60,79,100,125,81
Castform,Hoenn,,351,Normal,,Forecast,,,Amorphous,Fairy,0.8,70,70,70,70,70,70
Kecleon,Hoenn,,352,Normal,,Color Change,,Protean,Field,,22,60,90,70,60,120,40
Shuppet,Hoenn,,353,Ghost,,Insomnia,Frisk,Cursed Body,Amorphous,,2.3,44,75,35,63,33,45
Banette,Hoenn,,354,Ghost,,Insomnia,Frisk,Cursed Body,Amorphous,,12.5,64,115,65,83,63,65
Duskull,Hoenn,,355,Ghost,,Levitate,,Frisk,Amorphous,,15,20,40,90,30,90,25
Dusclops,Hoenn,,356,Ghost,,Pressure,,Frisk,Amorphous,,30.6,40,70,130,60,130,25
Tropius,Hoenn,,357,Grass,Flying,Chlorophyll,Solar Power,Harvest,Grass,Monster,100,99,68,83,72,87,51
Chimecho,Hoenn,,358,Psychic,,Levitate,,,Amorphous,,1,75,50,80,95,90,65
Absol,Hoenn,,359,Dark,,Pressure,Super Luck,Justified,Field,,47,65,130,60,75,60,75
Wynaut,Hoenn,,360,Psychic,,Shadow Tag,,Telepathy,No Eggs Discovered,,14,95,23,48,23,48,23
Snorunt,Hoenn,,361,Ice,,Inner Focus,Ice Body,Moody,Fairy,Mineral,16.8,50,50,50,50,50,50
Glalie,Hoenn,,362,Ice,,Inner Focus,Ice Body,Moody,Fairy,Mineral,256.5,80,80,80,80,80,80
Spheal,Hoenn,,363,Ice,Water,Thick Fat,Ice Body,Oblivious,Water 1,Field,39.5,70,40,50,55,50,25
Sealeo,Hoenn,,364,Ice,Water,Thick Fat,Ice Body,Oblivious,Water 1,Field,87.6,90,60,70,75,70,45
Walrein,Hoenn,,365,Ice,Water,Thick Fat,Ice Body,Oblivious,Water 1,Field,150.6,110,80,90,95,90,65
Clamperl,Hoenn,,366,Water,,Shell Armor,,Rattled,Water 1,,52.5,35,64,85,74,55,32
Huntail,Hoenn,,367,Water,,Swift Swim,,Water Veil,Water 1,,27,55,104,105,94,75,52
Gorebyss,Hoenn,,368,Water,,Swift Swim,,Hydration,Water 1,,22.6,55,84,105,114,75,52
Relicanth,Hoenn,,369,Water,Rock,Swift Swim,Rock Head,Sturdy,Water 1,Water 2,23.4,100,90,130,45,65,55
Luvdisc,Hoenn,,370,Water,,Swift Swim,,Hydration,Water 2,,8.7,43,30,55,40,65,97
Bagon,Hoenn,,371,Dragon,,Rock Head,,Sheer Force,Dragon,,42.1,45,75,60,40,30,50
Shelgon,Hoenn,,372,Dragon,,Rock Head,,Overcoat,Dragon,,110.5,65,95,100,60,50,50
Salamence,Hoenn,,373,Dragon,Flying,Intimidate,,Moxie,Dragon,,102.6,95,135,80,110,80,100
Beldum,Hoenn,,374,Steel,Psychic,Clear Body,,Light Metal,Mineral,,95.2,40,55,80,35,60,30
Metang,Hoenn,,375,Steel,Psychic,Clear Body,,Light Metal,Mineral,,202.5,60,75,100,55,80,50
Metagross,Hoenn,,376,Steel,Psychic,Clear Body,,Light Metal,Mineral,,550,80,135,130,95,90,70
Regirock,Hoenn,,377,Rock,,Clear Body,,Sturdy,No Eggs Discovered,,230,80,100,200,50,100,50
Regice,Hoenn,,378,Ice,,Clear Body,,Ice Body,No Eggs Discovered,,175,80,50,100,100,200,50
Registeel,Hoenn,,379,Steel,,Clear Body,,Light Metal,No Eggs Discovered,,205,80,75,150,75,150,50
Latias,Hoenn,,380,Dragon,Psychic,Levitate,,,No Eggs Discovered,,40,80,80,90,110,130,110
Latios,Hoenn,,381,Dragon,Psychic,Levitate,,,No Eggs Discovered,,60,80,90,80,130,110,110
Kyogre,Hoenn,,382,Water,,Drizzle,,,No Eggs Discovered,,352,100,100,90,150,140,90
Groudon,Hoenn,,383,Ground,,Drought,,,No Eggs Discovered,,950,100,150,140,100,90,90
Rayquaza,Hoenn,,384,Dragon,Flying,Air Lock,,,No Eggs Discovered,,206.5,105,150,90,150,90,95
Jirachi,Hoenn,,385,Steel,Psychic,Serene Grace,,,No Eggs Discovered,,1.1,100,100,100,100,100,100
Deoxys,Hoenn,,386,Psychic,,Pressure,,,No Eggs Discovered,,60.8,50,150,50,150,50,150
Deoxys,Hoenn,Attack,386,Psychic,,Pressure,,,No Eggs Discovered,,60.8,50,180,20,180,20,150
Deoxys,Hoenn,Defense,386,Psychic,,Pressure,,,No Eggs Discovered,,60.8,50,70,160,70,160,90
Deoxys,Hoenn,Speed,386,Psychic,,Pressure,,,No Eggs Discovered,,60.8,50,95,90,95,90,180
Turtwig,Sinnoh,,387,Grass,,Overgrow,,Shell Armor,Monster,Grass,10.2,55,68,64,45,55,31
Grotle,Sinnoh,,388,Grass,,Overgrow,,Shell Armor,Monster,Grass,97,75,89,85,55,65,36
Torterra,Sinnoh,,389,Grass,Ground,Overgrow,,Shell Armor,Monster,Grass,310,95,109,105,75,85,56
Chimchar,Sinnoh,,390,Fire,,Blaze,,Iron Fist,Field,Human-Like,6.2,44,58,44,58,44,61
Monferno,Sinnoh,,391,Fire,Fighting,Blaze,,Iron Fist,Field,Human-Like,22,64,78,52,78,52,81
Infernape,Sinnoh,,392,Fire,Fighting,Blaze,,Iron Fist,Field,Human-Like,55,76,104,71,104,71,108
Piplup,Sinnoh,,393,Water,,Torrent,,Competitive,Water 1,Field,5.2,53,51,53,61,56,40
Prinplup,Sinnoh,,394,Water,,Torrent,,Competitive,Water 1,Field,23,64,66,68,81,76,50
Empoleon,Sinnoh,,395,Water,Steel,Torrent,,Competitive,Water 1,Field,84.5,84,86,88,111,101,60
Starly,Sinnoh,,396,Normal,Flying,Keen Eye,,Reckless,Flying,,2,40,55,30,30,30,60
Staravia,Sinnoh,,397,Normal,Flying,Intimidate,,Reckless,Flying,,15.5,55,75,50,40,40,80
Staraptor,Sinnoh,,398,Normal,Flying,Intimidate,,Reckless,Flying,,24.9,85,120,70,50,60,100
Bidoof,Sinnoh,,399,Normal,,Simple,Unaware,Moody,Water 1,Field,20,59,45,40,35,40,31
Bibarel,Sinnoh,,400,Normal,Water,Simple,Unaware,Moody,Water 1,Field,31.5,79,85,60,55,60,71
Kricketot,Sinnoh,,401,Bug,,Shed Skin,,Run Away,Bug,,2.2,37,25,41,25,41,25
Kricketune,Sinnoh,,402,Bug,,Swarm,,Technician,Bug,,25.5,77,85,51,55,51,65
Shinx,Sinnoh,,403,Electric,,Rivalry,Intimidate,Guts,Field,,9.5,45,65,34,40,34,45
Luxio,Sinnoh,,404,Electric,,Rivalry,Intimidate,Guts,Field,,30.5,60,85,49,60,49,60
Luxray,Sinnoh,,405,Electric,,Rivalry,Intimidate,Guts,Field,,42,80,120,79,95,79,70
Budew,Sinnoh,,406,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,No Eggs Discovered,,1.2,40,30,35,50,70,55
Roserade,Sinnoh,,407,Grass,Poison,Natural Cure,Poison Point,Technician,Fairy,Grass,14.5,60,70,65,125,105,90
Cranidos,Sinnoh,,408,Rock,,Mold Breaker,,Sheer Force,Monster,,31.5,67,125,40,30,30,58
Rampardos,Sinnoh,,409,Rock,,Mold Breaker,,Sheer Force,Monster,,102.5,97,165,60,65,50,58
Shieldon,Sinnoh,,410,Rock,Steel,Sturdy,,Soundproof,Monster,,57,30,42,118,42,88,30
Bastiodon,Sinnoh,,411,Rock,Steel,Sturdy,,Soundproof,Monster,,149.5,60,52,168,47,138,30
Burmy,Sinnoh,,412,Bug,,Shed Skin,,Overcoat,Bug,,3.4,40,29,45,29,45,36
Wormadam,Sinnoh,,413,Bug,Grass,Anticipation,,Overcoat,Bug,,6.5,60,59,85,79,105,36
Wormadam,Sinnoh,Sandy,413,Bug,Ground,Anticipation,,Overcoat,Bug,,6.5,60,79,105,59,85,36
Wormadam,Sinnoh,Trash,413,Bug,Steel,Anticipation,,Overcoat,Bug,,6.5,60,69,95,69,95,36
Mothim,Sinnoh,,414,Bug,Flying,Swarm,,Tinted Lens,Bug,,23.3,70,94,50,94,50,66
Combee,Sinnoh,,415,Bug,Flying,Honey Gather,,Hustle,Bug,,5.5,30,30,42,30,42,70
Vespiquen,Sinnoh,,416,Bug,Flying,Pressure,,Unnerve,Bug,,38.5,70,80,102,80,102,40
Pachirisu,Sinnoh,,417,Electric,,Run Away,Pickup,Volt Absorb,Fairy,Field,3.9,60,45,70,45,90,95
Buizel,Sinnoh,,418,Water,,Swift Swim,,Water Veil,Water 1,Field,29.5,55,65,35,60,30,85
Floatzel,Sinnoh,,419,Water,,Swift Swim,,Water Veil,Water 1,Field,33.5,85,105,55,85,50,115
Cherubi,Sinnoh,,420,Grass,,Chlorophyll,,,Fairy,Grass,3.3,45,35,45,62,53,35
Cherrim,Sinnoh,,421,Grass,,Flower Gift,,,Fairy,Grass,9.3,70,60,70,87,78,85
Shellos,Sinnoh,,422,Water,,Sticky Hold,Storm Drain,Sand Force,Water 1,Amorphous,6.3,76,48,48,57,62,34
Gastrodon,Sinnoh,,423,Water,Ground,Sticky Hold,Storm Drain,Sand Force,Water 1,Amorphous,29.9,111,83,68,92,82,39
Ambipom,Sinnoh,,424,Normal,,Technician,Pickup,Skill Link,Field,,20.3,75,100,66,60,66,115
Drifloon,Sinnoh,,425,Ghost,Flying,Aftermath,Unburden,Flare Boost,Amorphous,,1.2,90,50,34,60,44,70
Drifblim,Sinnoh,,426,Ghost,Flying,Aftermath,Unburden,Flare Boost,Amorphous,,15,150,80,44,90,54,80
